Match Number,Federation,Series,Tournament,Location,Court,Surface,Round,Best of,Date GMT,Time GMT,Player ,Opponent,Player Rank,Opponent Rank,Player Ranking Points,Opponent Ranking Points,Result,Player Age,Player Aces,Player Double Faults,Player Serves,Player 1st Serve In,Player 1st Serve Won,Player 2nd Serve Won,Player 1st Serve Fault 
2155,ATP,ATP250,BB&T Atlanta Open,Atlanta,Outdoor,Hard,Quarterfinals,3,8/5/16,20:05:00,Kyrgios N.,Verdasco F.,18,48,1865,950,Win,21.26488706,18,5,90,57,47,22,0.366666667
2156,ATP,ATP250,BB&T Atlanta Open,Atlanta,Outdoor,Hard,Semifinals,3,8/6/16,20:05:00,Kyrgios N.,Nishioka Y.,18,97,1865,608,Win,21.26488706,16,3,75,47,40,16,0.373333333
2157,ATP,ATP250,BB&T Atlanta Open,Atlanta,Outdoor,Hard,The Final,3,8/7/16,18:05:00,Kyrgios N.,Isner J.,18,17,1865,1895,Win,21.26488706,18,5,79,49,40,20,0.379746835
2158,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,1st Round,3,8/16/16,03:45:00,Kyrgios N.,Pouille L.,16,26,2025,1489,Win,21.30321697,16,1,62,40,30,14,0.35483871
2159,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,2nd Round,3,8/17/16,23:00:00,Kyrgios N.,Coric B.,16,49,2025,935,Loss,21.30321697,24,5,112,75,59,15,0.330357143
2160,ATP,Grand Slam,US Open,New York,Outdoor,Hard,1st Round,5,8/30/16,23:35:00,Kyrgios N.,Bedene A.,16,77,2060,695,Win,21.34154689,14,4,82,50,43,17,0.390243902
2161,ATP,Grand Slam,US Open,New York,Outdoor,Hard,2nd Round,5,9/2/16,00:55:00,Kyrgios N.,Zeballos H.,16,71,2060,736,Win,21.34154689,27,1,78,48,45,19,0.384615385
2162,ATP,Grand Slam,US Open,New York,Outdoor,Hard,3rd Round,5,9/4/16,02:20:00,Kyrgios N.,Marchenko I.,16,63,2060,795,Loss,21.34154689,18,4,94,56,34,18,0.404255319
2163,ATP,ATP250,Chengdu Open,Chengdu,Outdoor,Hard,2nd Round,3,9/29/16,08:10:00,Kyrgios N.,Anderson K.,15,45,2140,1005,Loss,21.41820671,21,5,105,80,60,10,0.238095238
2164,ATP,ATP500,Rakuten Japan Open Tennis Championships,Tokyo,Outdoor,Hard,1st Round,3,10/4/16,05:05:00,Kyrgios N.,Harrison R.,15,107,2050,552,Win,21.43737166,14,1,52,38,30,10,0.269230769
2165,ATP,ATP500,Rakuten Japan Open Tennis Championships,Tokyo,Outdoor,Hard,2nd Round,3,10/6/16,,Kyrgios N.,Stepanek R.,15,106,2050,558,Walkover Win,21.43737166,0,0,0,0,0,0,N/A
2166,ATP,ATP500,Rakuten Japan Open Tennis Championships,Tokyo,Outdoor,Hard,Quarterfinals,3,10/7/16,07:05:00,Kyrgios N.,Muller G.,15,36,2050,1175,Win,21.43737166,18,2,53,35,31,9,0.339622642
2167,ATP,ATP500,Rakuten Japan Open Tennis Championships,Tokyo,Outdoor,Hard,Semifinals,3,10/8/16,06:05:00,Kyrgios N.,Monfils G.,15,8,2050,3545,Win,21.43737166,3,2,73,41,31,17,0.438356164
2168,ATP,ATP500,Rakuten Japan Open Tennis Championships,Tokyo,Outdoor,Hard,The Final,3,10/9/16,05:35:00,Kyrgios N.,Goffin D.,15,14,2050,2390,Win,21.43737166,25,9,99,67,53,16,0.323232323
2169,ATP,Masters 1000,Shanghai Masters,Shanghai,Outdoor,Hard,1st Round,3,10/11/16,08:55:00,Kyrgios N.,Querrey S.,14,29,2460,1375,Win,21.45653662,14,4,55,34,29,12,0.381818182
2170,ATP,Masters 1000,Shanghai Masters,Shanghai,Outdoor,Hard,2nd Round,3,10/12/16,09:45:00,Kyrgios N.,Zverev M.,14,110,2460,537,Loss,21.45653662,2,3,54,35,18,6,0.351851852
2171,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,1st Round,5,1/16/17,07:35:00,Kyrgios N.,Elias G.,13,77,2460,698,Win,21.724846,8,3,64,37,30,21,0.421875
2172,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,2nd Round,5,1/18/17,07:05:00,Kyrgios N.,Seppi A.,13,89,2460,635,Loss,21.724846,28,8,171,118,88,27,0.30994152
2173,ATP,ATP250,Open 13,Marseille,Indoor,Hard,2nd Round,3,2/22/17,18:05:00,Kyrgios N.,Jaziri M.,16,47,2165,908,Win,21.82067077,12,1,44,31,29,7,0.295454545
2174,ATP,ATP250,Open 13,Marseille,Indoor,Hard,Quarterfinals,3,2/24/17,13:05:00,Kyrgios N.,Gombos N.,16,128,2165,455,Win,21.82067077,15,1,42,31,29,7,0.261904762
2175,ATP,ATP250,Open 13,Marseille,Indoor,Hard,Semifinals,3,2/25/17,14:05:00,Kyrgios N.,Tsonga J.W.,16,11,2165,3230,Loss,21.82067077,16,3,99,64,52,15,0.353535354
2176,ATP,ATP500,Abierto Mexicano,Acapulco,Outdoor,Hard,1st Round,3,3/1/17,01:50:00,Kyrgios N.,Sela D.,17,75,2075,686,Win,21.83983573,8,5,76,51,41,12,0.328947368
2177,ATP,ATP500,Abierto Mexicano,Acapulco,Outdoor,Hard,2nd Round,3,3/1/17,22:05:00,Kyrgios N.,Young D.,17,63,2075,771,Win,21.83983573,7,7,57,37,29,11,0.350877193
2178,ATP,ATP500,Abierto Mexicano,Acapulco,Outdoor,Hard,Quarterfinals,3,3/3/17,04:05:00,Kyrgios N.,Djokovic N.,17,2,2075,9735,Win,21.83983573,25,1,73,53,43,15,0.273972603
2179,ATP,ATP500,Abierto Mexicano,Acapulco,Outdoor,Hard,Semifinals,3,3/4/17,04:05:00,Kyrgios N.,Querrey S.,17,40,2075,1000,Loss,21.83983573,11,0,74,48,33,14,0.351351351
2180,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,2nd Round,3,3/12/17,23:10:00,Kyrgios N.,Zeballos H.,16,73,2255,714,Win,21.85900068,10,0,53,34,29,14,0.358490566
2181,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,3rd Round,3,3/14/17,22:35:00,Kyrgios N.,Zverev A.,16,20,2255,1895,Win,21.85900068,6,2,50,32,27,10,0.36
2182,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,4th Round,3,3/15/17,22:05:00,Kyrgios N.,Djokovic N.,16,2,2255,9825,Win,21.85900068,14,4,69,42,36,14,0.391304348
2183,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,Quarterfinals,3,3/17/17,,Kyrgios N.,Federer R.,16,10,2255,3305,Walkover Loss,21.85900068,0,0,0,0,0,0,N/A
2184,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,2nd Round,3,3/26/17,03:30:00,Kyrgios N.,Dzumhur D.,16,66,2425,769,Win,21.8973306,10,5,51,32,26,11,0.37254902
2185,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,3rd Round,3,3/27/17,01:10:00,Kyrgios N.,Karlovic I.,16,21,2425,1840,Win,21.8973306,14,2,95,61,56,23,0.357894737
2186,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,4th Round,3,3/29/17,02:50:00,Kyrgios N.,Goffin D.,16,12,2425,2975,Win,21.8973306,12,5,79,52,40,14,0.341772152
2187,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,Quarterfinals,3,3/31/17,00:05:00,Kyrgios N.,Zverev A.,16,20,2425,1850,Win,21.8973306,16,0,97,63,50,23,0.350515464
2188,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,Semifinals,3,4/1/17,00:05:00,Kyrgios N.,Federer R.,16,6,2425,4305,Loss,21.8973306,14,4,148,95,71,28,0.358108108
2189,ATP,Masters 1000,Mutua Madrid Open,Madrid,Outdoor,Clay,1st Round,3,5/8/17,18:25:00,Kyrgios N.,Baghdatis M.,20,64,2155,815,Win,22.03148528,14,0,59,41,34,14,0.305084746
2190,ATP,Masters 1000,Mutua Madrid Open,Madrid,Outdoor,Clay,2nd Round,3,5/10/17,11:05:00,Kyrgios N.,Harrison R.,20,47,2155,928,Win,22.03148528,8,0,46,28,24,13,0.391304348
2191,ATP,Masters 1000,Mutua Madrid Open,Madrid,Outdoor,Clay,3rd Round,3,5/11/17,19:05:00,Kyrgios N.,Nadal R.,20,5,2155,4375,Loss,22.03148528,3,4,67,45,23,7,0.328358209
2192,ATP,ATP250,Lyon Open,Lyon,Outdoor,Clay,2nd Round,3,5/23/17,17:05:00,Kyrgios N.,Kicker N.,19,94,2155,575,Loss,22.0698152,16,9,81,48,35,13,0.407407407
2193,ATP,Grand Slam,French Open,Paris,Outdoor,Clay,1st Round,5,5/30/17,10:05:00,Kyrgios N.,Kohlschreiber P.,19,43,2155,990,Win,22.08898015,20,4,97,68,55,16,0.298969072
2194,ATP,Grand Slam,French Open,Paris,Outdoor,Clay,2nd Round,5,6/1/17,14:20:00,Kyrgios N.,Anderson K.,19,56,2155,845,Loss,22.08898015,16,9,122,85,56,16,0.303278689
2195,ATP,ATP500,AEGON Championships,Queens Club,Outdoor,Grass,1st Round,3,6/19/17,14:55:00,Kyrgios N.,Young D.,20,55,2110,845,Loss,22.14647502,12,2,34,21,19,8,0.382352941
2196,ATP,Grand Slam,Wimbledon,London,Outdoor,Grass,1st Round,5,7/3/17,11:35:00,Kyrgios N.,Herbert P.H.,20,70,2110,707,Loss,22.18480493,3,2,58,38,21,16,0.344827586
2197,ATP,ATP500,Citi Open,Washington,Outdoor,Hard,2nd Round,3,8/3/17,04:05:00,Kyrgios N.,Sandgren T.,20,106,1930,511,Loss,22.26146475,5,5,41,20,14,7,0.512195122
2198,ATP,Masters 1000,Rogers Masters,Montreal,Outdoor,Hard,1st Round,3,8/7/17,17:35:00,Kyrgios N.,Troicki V.,24,45,1680,1000,Win,22.28062971,8,4,42,24,21,12,0.428571429
2199,ATP,Masters 1000,Rogers Masters,Montreal,Outdoor,Hard,2nd Round,3,8/9/17,22:10:00,Kyrgios N.,Lorenzi P.,24,38,1680,1123,Win,22.28062971,10,5,47,25,24,13,0.468085106
2200,ATP,Masters 1000,Rogers Masters,Montreal,Outdoor,Hard,3rd Round,3,8/10/17,23:35:00,Kyrgios N.,Zverev A.,24,8,1680,3560,Loss,22.28062971,5,4,52,34,24,8,0.346153846
2201,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,1st Round,3,8/15/17,16:05:00,Kyrgios N.,Goffin D.,23,13,1770,2560,Win,22.29979466,10,6,56,31,27,14,0.446428571
2202,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,2nd Round,3,8/16/17,18:45:00,Kyrgios N.,Dolgopolov O.,23,71,1770,691,Win,22.29979466,15,6,62,38,32,14,0.387096774
2203,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,3rd Round,3,8/18/17,18:00:00,Kyrgios N.,Karlovic I.,23,44,1770,1045,Win,22.29979466,8,3,80,54,50,16,0.325
2204,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,Quarterfinals,3,8/19/17,02:30:00,Kyrgios N.,Nadal R.,23,2,1770,7555,Win,22.29979466,10,5,56,35,30,11,0.375
2205,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,Semifinals,3,8/20/17,00:05:00,Kyrgios N.,Ferrer D.,23,31,1770,1345,Win,22.29979466,14,4,85,48,43,17,0.435294118
2206,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,The Final,3,8/20/17,21:05:00,Kyrgios N.,Dimitrov G.,23,11,1770,3070,Loss,22.29979466,15,4,60,42,31,8,0.3
2207,ATP,Grand Slam,US Open,New York,Outdoor,Hard,1st Round,5,8/30/17,17:05:00,Kyrgios N.,Millman J.,17,235,2325,220,Loss,22.33812457,17,7,116,69,48,21,0.405172414
2208,ATP,ATP500,China Open,Beijing,Outdoor,Hard,1st Round,3,10/3/17,05:35:00,Kyrgios N.,Basilashvili N.,19,60,2245,862,Win,22.43394935,12,3,43,22,19,14,0.488372093
2209,ATP,ATP500,China Open,Beijing,Outdoor,Hard,2nd Round,3,10/4/17,05:35:00,Kyrgios N.,Zverev M.,19,27,2245,1627,Win,22.43394935,11,1,61,38,32,15,0.37704918
2210,ATP,ATP500,China Open,Beijing,Outdoor,Hard,Quarterfinals,3,10/6/17,10:10:00,Kyrgios N.,Darcis S.,19,73,2245,691,Win,22.43394935,12,2,28,17,16,5,0.392857143
2211,ATP,ATP500,China Open,Beijing,Outdoor,Hard,Semifinals,3,10/7/17,14:30:00,Kyrgios N.,Zverev A.,19,4,2245,4310,Win,22.43394935,11,0,56,39,34,12,0.303571429
2212,ATP,ATP500,China Open,Beijing,Outdoor,Hard,The Final,3,10/8/17,12:45:00,Kyrgios N.,Nadal R.,19,1,2245,9465,Loss,22.43394935,8,5,64,31,21,10,0.515625
2213,ATP,Masters 1000,Shanghai Masters,Shanghai,Outdoor,Hard,1st Round,3,10/10/17,09:00:00,Kyrgios N.,Johnson S.,21,45,2045,1045,Loss,22.45311431,13,3,39,25,20,8,0.358974359
2214,ATP,ATP250,European Open,Antwerp,Indoor,Hard,2nd Round,3,10/18/17,20:00:00,Kyrgios N.,Bemelmans R.,20,98,2010,544,Loss,22.47227926,18,7,88,54,38,18,0.386363636
2215,ATP,ATP250,Brisbane International,Brisbane,Outdoor,Hard,2nd Round,3,1/3/18,04:30:00,Kyrgios N.,Ebden M.,21,76,2010,670,Win,22.68309377,13,2,100,62,53,21,0.38
2216,ATP,ATP250,Brisbane International,Brisbane,Outdoor,Hard,Quarterfinals,3,1/5/18,02:45:00,Kyrgios N.,Dolgopolov O.,21,169,2010,315,Win,22.68309377,18,5,69,43,38,11,0.376811594
2217,ATP,ATP250,Brisbane International,Brisbane,Outdoor,Hard,Semifinals,3,1/6/18,06:15:00,Kyrgios N.,Dimitrov G.,21,3,2010,5150,Win,22.68309377,19,2,72,50,41,11,0.305555556
2218,ATP,ATP250,Brisbane International,Brisbane,Outdoor,Hard,The Final,3,1/7/18,09:05:00,Kyrgios N.,Harrison R.,21,47,2010,1010,Win,22.68309377,17,1,56,40,33,9,0.285714286
2219,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,1st Round,5,1/15/18,08:05:00,Kyrgios N.,Dutra Silva R.,17,98,2260,566,Win,22.72142368,16,1,79,58,44,13,0.265822785
2220,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,2nd Round,5,1/17/18,08:00:00,Kyrgios N.,Troicki V.,17,65,2260,800,Win,22.72142368,17,3,97,69,58,14,0.288659794
2221,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,3rd Round,5,1/19/18,08:05:00,Kyrgios N.,Tsonga J.W.,17,15,2260,2320,Win,22.72142368,28,3,146,96,76,32,0.342465753
2222,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,4th Round,5,1/21/18,08:30:00,Kyrgios N.,Dimitrov G.,17,3,2260,4990,Loss,22.72142368,36,7,155,101,80,27,0.348387097
2223,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,2nd Round,3,3/25/18,00:45:00,Kyrgios N.,Lajovic D.,20,108,1945,540,Win,22.89390828,7,0,37,25,22,10,0.324324324
2224,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,3rd Round,3,3/26/18,19:45:00,Kyrgios N.,Fognini F.,20,18,1945,2155,Win,22.89390828,9,5,55,29,22,16,0.472727273
2225,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,4th Round,3,3/28/18,02:35:00,Kyrgios N.,Zverev A.,20,5,1945,4505,Loss,22.89390828,11,1,65,40,24,13,0.384615385
2226,ATP,ATP250,U.S. Men's Clay Court Championships,Houston,Outdoor,Clay,2nd Round,3,4/12/18,00:45:00,Kyrgios N.,Fratangelo B.,24,108,1675,531,Win,22.95140315,21,8,99,53,41,27,0.464646465
2227,ATP,ATP250,U.S. Men's Clay Court Championships,Houston,Outdoor,Clay,Quarterfinals,3,4/13/18,20:40:00,Kyrgios N.,Karlovic I.,24,88,1675,645,Loss,22.95140315,3,1,81,55,34,16,0.320987654
2228,ATP,ATP250,Mercedes Cup,Stuttgart,Outdoor,Grass,2nd Round,3,6/14/18,12:10:00,Kyrgios N.,Marterer M.,24,50,1585,999,Win,23.12388775,20,6,86,54,43,17,0.372093023
2229,ATP,ATP250,Mercedes Cup,Stuttgart,Outdoor,Grass,Quarterfinals,3,6/15/18,15:30:00,Kyrgios N.,Lopez F.,24,33,1585,1295,Win,23.12388775,20,5,73,49,42,14,0.328767123
2230,ATP,ATP250,Mercedes Cup,Stuttgart,Outdoor,Grass,Semifinals,3,6/16/18,15:05:00,Kyrgios N.,Federer R.,24,2,1585,8670,Loss,23.12388775,23,8,112,79,58,16,0.294642857
2231,ATP,ATP500,AEGON Championships,Queens Club,Outdoor,Grass,1st Round,3,6/19/18,16:00:00,Kyrgios N.,Murray A.,21,156,1675,360,Win,23.1430527,18,11,110,66,55,14,0.4
2232,ATP,ATP500,AEGON Championships,Queens Club,Outdoor,Grass,2nd Round,3,6/21/18,13:55:00,Kyrgios N.,Edmund K.,21,17,1675,1950,Win,23.1430527,32,6,102,72,63,16,0.294117647
2233,ATP,ATP500,AEGON Championships,Queens Club,Outdoor,Grass,Quarterfinals,3,6/22/18,13:55:00,Kyrgios N.,Lopez F.,21,37,1675,1190,Win,23.1430527,32,4,89,66,53,11,0.258426966
2234,ATP,ATP500,AEGON Championships,Queens Club,Outdoor,Grass,Semifinals,3,6/23/18,13:05:00,Kyrgios N.,Cilic M.,21,6,1675,4860,Loss,23.1430527,16,3,71,52,42,13,0.267605634
2235,ATP,Grand Slam,Wimbledon,London,Outdoor,Grass,1st Round,5,7/3/18,13:10:00,Kyrgios N.,Istomin D.,18,92,1855,642,Win,23.18138261,42,6,144,105,87,22,0.270833333
2236,ATP,Grand Slam,Wimbledon,London,Outdoor,Grass,2nd Round,5,7/5/18,13:55:00,Kyrgios N.,Haase R.,18,43,1855,1075,Win,23.18138261,19,9,80,47,43,18,0.4125
2237,ATP,Grand Slam,Wimbledon,London,Outdoor,Grass,3rd Round,3,7/7/18,19:25:00,Kyrgios N.,Nishikori K.,18,28,1855,1530,Loss,23.18138261,13,4,81,52,38,14,0.358024691
2238,ATP,ATP250,BB&T Atlanta Open,Atlanta,Outdoor,Hard,2nd Round,3,7/27/18,00:05:00,Kyrgios N.,Rubin N.,18,164,1935,341,Win,23.23887748,15,1,46,28,24,14,0.391304348
2239,ATP,ATP250,BB&T Atlanta Open,Atlanta,Outdoor,Hard,Quarterfinals,3,7/28/18,01:05:00,Kyrgios N.,Norrie C.,18,73,1935,753,Loss,23.23887748,3,1,40,20,15,10,0.5
2240,ATP,Masters 1000,Rogers Masters,Toronto,Outdoor,Hard,1st Round,3,8/7/18,16:05:00,Kyrgios N.,Wawrinka S.,17,195,1935,290,Loss,23.27720739,26,5,91,55,47,17,0.395604396
2241,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,1st Round,3,8/14/18,18:20:00,Kyrgios N.,Kudla D.,18,77,1855,758,Win,23.29637235,39,10,116,66,58,27,0.431034483
2242,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,2nd Round,3,8/16/18,00:55:00,Kyrgios N.,Coric B.,18,21,1855,1745,Win,23.29637235,16,2,90,58,41,17,0.355555556
2243,ATP,Masters 1000,Western & Southern Financial Group Masters,Cincinnati,Outdoor,Hard,3rd Round,3,8/17/18,16:30:00,Kyrgios N.,Del Potro J.M.,18,3,1855,5410,Loss,23.29637235,29,4,96,59,48,23,0.385416667
2244,ATP,Grand Slam,US Open,New York,Outdoor,Hard,1st Round,5,8/29/18,00:05:00,Kyrgios N.,Albot R.,30,95,1345,598,Win,23.33470226,25,14,129,74,55,26,0.426356589
2245,ATP,Grand Slam,US Open,New York,Outdoor,Hard,2nd Round,5,8/30/18,17:30:00,Kyrgios N.,Herbert P.H.,30,75,1345,764,Win,23.33470226,14,12,122,70,57,29,0.426229508
2246,ATP,Grand Slam,US Open,New York,Outdoor,Hard,3rd Round,5,9/1/18,19:25:00,Kyrgios N.,Federer R.,30,2,1345,7080,Loss,23.33470226,13,2,94,57,36,22,0.393617021
2247,ATP,ATP500,Rakuten Japan Open Tennis Championships,Tokyo,Outdoor,Hard,1st Round,3,10/3/18,04:05:00,Kyrgios N.,Nishioka Y.,27,95,1425,595,Win,23.43052704,20,5,74,50,42,12,0.324324324
2248,ATP,ATP500,Rakuten Japan Open Tennis Championships,Tokyo,Outdoor,Hard,2nd Round,3,10/4/18,12:00:00,Kyrgios N.,Gasquet R.,27,25,1425,1580,Loss,23.43052704,22,4,84,60,44,13,0.285714286
2249,ATP,Masters 1000,Shanghai Masters,Shanghai,Outdoor,Hard,1st Round,3,10/8/18,11:35:00,Kyrgios N.,Klahn B.,38,104,1170,560,Loss,23.44695414,14,5,82,56,35,17,0.317073171
2250,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,1st Round,3,10/16/18,18:00:00,Kyrgios N.,Rublev A.,37,78,1170,715,Win,23.46885695,25,5,85,64,51,8,0.247058824
2251,ATP,ATP250,Kremlin Cup,Moscow,Indoor,Hard,2nd Round,3,10/18/18,,Kyrgios N.,Basic M.,37,76,1170,729,Walkover Loss,23.46885695,0,0,0,0,0,0,N/A
2252,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,1st Round,5,1/17/12,02:25:00,Djokovic N.,Lorenzi P.,1,109,13630,521,Win,24.65434634,4,1,62,45,33,8,0.274193548
2253,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,2nd Round,5,1/19/12,03:10:00,Djokovic N.,Giraldo S.,1,56,13630,845,Win,24.65434634,9,2,65,36,29,19,0.446153846
2254,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,3rd Round,5,1/21/12,03:05:00,Djokovic N.,Mahut N.,1,81,13630,653,Win,24.65434634,7,1,52,32,27,14,0.384615385
2255,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,4th Round,5,1/23/12,11:10:00,Djokovic N.,Hewitt L.,1,181,13630,265,Win,24.65434634,15,3,102,63,46,22,0.382352941
2256,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,Quarterfinals,5,1/25/12,08:35:00,Djokovic N.,Ferrer D.,1,5,13630,4925,Win,24.65434634,3,0,91,47,34,29,0.483516484
2257,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,Semifinals,5,1/27/12,08:35:00,Djokovic N.,Murray A.,1,4,13630,7380,Win,24.65434634,11,6,171,104,69,30,0.391812865
2258,ATP,Grand Slam,Australian Open,Melbourne,Outdoor,Hard,The Final,5,1/29/12,08:35:00,Djokovic N.,Nadal R.,1,2,13630,9595,Win,24.65434634,9,2,166,98,67,43,0.409638554
2259,ATP,ATP500,Dubai Tennis Championships,Dubai ,Outdoor,Hard,1st Round,3,2/27/12,15:05:00,Djokovic N.,Stebe C.M.,1,72,13130,678,Win,24.76933607,3,2,58,38,29,12,0.344827586
2260,ATP,ATP500,Dubai Tennis Championships,Dubai ,Outdoor,Hard,2nd Round,3,2/29/12,12:05:00,Djokovic N.,Stakhovsky S.,1,74,13130,665,Win,24.76933607,8,4,65,45,36,9,0.307692308
2261,ATP,ATP500,Dubai Tennis Championships,Dubai ,Outdoor,Hard,Quarterfinals,3,3/1/12,15:05:00,Djokovic N.,Tipsarevic J.,1,9,13130,2710,Win,24.76933607,7,1,60,40,30,15,0.333333333
2262,ATP,ATP500,Dubai Tennis Championships,Dubai ,Outdoor,Hard,Semifinals,3,3/2/12,13:05:00,Djokovic N.,Murray A.,1,4,13130,7150,Loss,24.76933607,2,0,50,34,23,6,0.32
2263,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,2nd Round,3,3/10/12,23:25:00,Djokovic N.,Golubev A.,1,145,13310,372,Win,24.78850103,1,1,51,31,24,12,0.392156863
2264,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,3rd Round,3,3/12/12,21:10:00,Djokovic N.,Anderson K.,1,30,13310,1270,Win,24.78850103,5,3,73,43,29,18,0.410958904
2265,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,4th Round,3,3/14/12,18:05:00,Djokovic N.,Andujar P.,1,45,13310,1000,Win,24.78850103,4,0,100,67,46,20,0.33
2266,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,Quarterfinals,3,3/15/12,20:05:00,Djokovic N.,Almagro N.,1,12,13310,2070,Win,24.78850103,5,0,53,31,24,16,0.41509434
2267,ATP,Masters 1000,BNP Paribas Open,Indian Wells,Outdoor,Hard,Semifinals,3,3/17/12,18:05:00,Djokovic N.,Isner J.,1,11,13310,2120,Loss,24.78850103,8,2,111,72,56,24,0.351351351
2268,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,2nd Round,3,3/25/12,00:05:00,Djokovic N.,Baghdatis M.,1,42,12670,1010,Win,24.82683094,2,1,64,40,32,15,0.375
2269,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,3rd Round,3,3/26/12,20:35:00,Djokovic N.,Troicki V.,1,27,12670,1340,Win,24.82683094,2,1,67,44,32,14,0.343283582
2270,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,4th Round,3,3/27/12,20:20:00,Djokovic N.,Gasquet R.,1,17,12670,1595,Win,24.82683094,6,0,65,38,30,15,0.415384615
2271,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,Quarterfinals,3,3/30/12,00:05:00,Djokovic N.,Ferrer D.,1,5,12670,4700,Win,24.82683094,5,1,70,39,29,17,0.442857143
2272,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,Semifinals,3,3/31/12,00:05:00,Djokovic N.,Monaco J.,1,21,12670,1495,Win,24.82683094,2,4,65,32,22,22,0.507692308
2273,ATP,Masters 1000,Sony Ericsson Open,Miami,Outdoor,Hard,The Final,3,4/1/12,18:05:00,Djokovic N.,Murray A.,1,4,12670,7450,Win,24.82683094,5,2,71,47,35,15,0.338028169
2274,ATP,Masters 1000,Monte Carlo Masters,Monte Carlo,Outdoor,Clay,2nd Round,3,4/18/12,11:05:00,Djokovic N.,Seppi A.,1,44,12670,980,Win,24.90349076,5,1,63,43,33,10,0.317460317
2275,ATP,Masters 1000,Monte Carlo Masters,Monte Carlo,Outdoor,Clay,3rd Round,3,4/19/12,15:00:00,Djokovic N.,Dolgopolov O.,1,21,12670,1495,Win,24.90349076,5,2,67,48,37,10,0.28358209
2276,ATP,Masters 1000,Monte Carlo Masters,Monte Carlo,Outdoor,Clay,Quarterfinals,3,4/20/12,12:50:00,Djokovic N.,Haase R.,1,55,12670,821,Win,24.90349076,1,0,55,33,18,11,0.4
2277,ATP,Masters 1000,Monte Carlo Masters,Monte Carlo,Outdoor,Clay,Semifinals,3,4/21/12,12:05:00,Djokovic N.,Berdych T.,1,7,12670,3810,Win,24.90349076,6,6,97,60,40,21,0.381443299
2278,ATP,Masters 1000,Monte Carlo Masters,Monte Carlo,Outdoor,Clay,The Final,3,4/22/12,13:05:00,Djokovic N.,Nadal R.,1,2,12670,9215,Loss,24.90349076,0,0,48,30,12,10,0.375
