Player Name,Match Date,Twitter Usage 36h,1st Serve Fault 
Karlovic I.,7/2/15 17:20,2,0.278106509
Karlovic I.,7/4/15 14:15,3,0.244274809
Karlovic I.,7/6/15 14:40,0,0.307142857
Karlovic I.,7/13/15 19:45,6,0.457446809
Karlovic I.,7/15/15 22:00,1,0.309859155
Karlovic I.,7/17/15 18:05,1,0.317460317
Karlovic I.,7/18/15 21:05,6,0.393442623
Karlovic I.,7/19/15 19:05,1,0.324074074
Karlovic I.,7/23/15 21:15,0,0.294871795
Karlovic I.,7/24/15 19:55,0,0.313253012
Karlovic I.,7/25/15 19:05,0,0.253521127
Karlovic I.,8/6/15 5:10,0,0.409090909
Karlovic I.,8/10/15 20:05,0,0.344827586
Karlovic I.,8/12/15 1:20,1,0.25
Karlovic I.,8/13/15 17:35,0,0.474226804
Karlovic I.,8/17/15 16:05,0,0.281818182
Karlovic I.,8/19/15 1:40,0,0.333333333
Karlovic I.,8/20/15 16:05,0,0.333333333
Karlovic I.,9/1/15 16:05,2,0.326086957
Karlovic I.,9/3/15 19:15,0,0.344155844
Karlovic I.,9/30/15 11:30,0,0.337209302
Karlovic I.,10/2/15 7:20,0,0.361111111
Karlovic I.,10/7/15 7:35,0,0.291666667
Karlovic I.,10/8/15 5:35,0,0.451219512
Karlovic I.,10/12/15 6:40,0,0.338028169
Karlovic I.,10/14/15 13:00,0,0.342592593
Karlovic I.,10/19/15 17:35,0,0.25
Karlovic I.,10/21/15 20:35,0,0.320754717
Karlovic I.,10/23/15 12:05,1,0.311688312
Karlovic I.,10/28/15 17:05,0,0.392405063
Karlovic I.,10/29/15 14:40,0,0.343283582
Karlovic I.,10/30/15 13:05,0,0.305555556
Karlovic I.,11/3/15 10:05,0,0.301724138
Karlovic I.,1/11/16 5:35,0,0.438356164
Karlovic I.,1/18/16 0:05,0,0.376623377
Karlovic I.,2/16/16 1:05,0,0.534090909
Karlovic I.,2/24/16 0:05,0,0.5
Karlovic I.,4/12/16 10:00,0,0.342465753
Karlovic I.,4/21/16 9:35,0,0.333333333
